Institute,Year,min_opening_rank,max_closing_rank
0,2016,22,8482
0,2017,24,9201
0,2018,5,13352
0,2019,34,17900
0,2020,50,19583
0,2021,52,24380
0,2022,21,22114
0,2023,41,23463
0,2024,31,23024
0,2025,13,23433
0,2026,21,25261
0,2027,28,27088
0,2028,36,28915
1,2016,1,4880
1,2017,1,5116
1,2018,1,8302
1,2019,1,12409
1,2020,1,10859
1,2021,1,12842
1,2022,1,11453
1,2023,1,14929
1,2024,1,11262
1,2025,22,23618
1,2026,30,25445
1,2027,38,27273
1,2028,46,29100
2,2016,24,7124
2,2017,83,7973
2,2018,52,11340
2,2019,70,19319
2,2020,120,19089
2,2021,45,25255
2,2022,9,22169
2,2023,147,24901
2,2024,178,23698
2,2025,32,23803
2,2026,40,25630
2,2027,48,27457
2,2028,56,29285
3,2016,3,5431
3,2017,1,5161
3,2018,2,9071
3,2019,1,9677
3,2020,2,11722
3,2021,2,11287
3,2022,2,12034
3,2023,3,11907
3,2024,2,12551
3,2025,42,23988
3,2026,50,25815
3,2027,58,27642
3,2028,66,29469
4,2016,2,10310
4,2017,2,14927
4,2018,3,14105
4,2019,3,19044
4,2020,2,19104
4,2021,5,27472
4,2022,7,24641
4,2023,2,24626
4,2024,6,24653
4,2025,52,24173
4,2026,59,26000
4,2027,67,27827
4,2028,75,29654
5,2016,46,7732
5,2017,2,8864
5,2018,1,11942
5,2019,41,15975
5,2020,23,15810
5,2021,21,20546
5,2022,17,18446
5,2023,6,18102
5,2024,14,19770
5,2025,61,24358
5,2026,69,26185
5,2027,77,28012
5,2028,85,29839
6,2016,3,6844
6,2017,2,6495
6,2018,8,10799
6,2019,14,11564
6,2020,9,12683
6,2021,15,14635
6,2022,19,14090
6,2023,7,16065
6,2024,5,16446
6,2025,71,24542
6,2026,79,26370
6,2027,87,28197
6,2028,95,30024
7,2016,103,6006
7,2017,29,7211
7,2018,85,14326
7,2019,75,19143
7,2020,56,20939
7,2021,50,24862
7,2022,128,23481
7,2023,68,24238
7,2024,29,23748
7,2025,81,24727
7,2026,89,26554
7,2027,97,28382
7,2028,104,30209
8,2016,1,7469
8,2017,2,6692
8,2018,4,11122
8,2019,1,13703
8,2020,4,17093
8,2021,3,16901
8,2022,3,18408
8,2023,6,19120
8,2024,4,17618
8,2025,91,24912
8,2026,98,26739
8,2027,106,28566
8,2028,114,30394
9,2016,1,9353
9,2017,7,8849
9,2018,2,12015
9,2019,4,14832
9,2020,3,14212
9,2021,2,15620
9,2022,3,16460
9,2023,3,15528
9,2024,4,14739
9,2025,100,25097
9,2026,108,26924
9,2027,116,28751
9,2028,124,30578
10,2016,49,6869
10,2017,152,7835
10,2018,93,10762
10,2019,32,14740
10,2020,69,15955
10,2021,77,20952
10,2022,18,17470
10,2023,21,17741
10,2024,56,17839
10,2025,110,25282
10,2026,118,27109
10,2027,126,28936
10,2028,134,30763
11,2016,23,7891
11,2017,30,8853
11,2018,118,12585
11,2019,77,19843
11,2020,71,19373
11,2021,51,24638
11,2022,50,23213
11,2023,84,24011
11,2024,124,24612
11,2025,120,25466
11,2026,128,27294
11,2027,136,29121
11,2028,143,30948
12,2016,1,10422
12,2017,5,14983
12,2018,9,12940
12,2019,5,19658
12,2020,4,17187
12,2021,6,28586
12,2022,4,24098
12,2023,4,21477
12,2024,8,19885
12,2025,129,25651
12,2026,137,27478
12,2027,145,29306
12,2028,153,31133
13,2016,22,9589
13,2025,139,25836
13,2026,147,27663
13,2027,155,29491
13,2028,163,31318
14,2016,4,7372
14,2017,36,8075
14,2018,58,12913
14,2019,53,17095
14,2020,45,18927
14,2021,78,21497
14,2022,26,20128
14,2023,13,20841
14,2024,63,21582
14,2025,149,26021
14,2026,157,27848
14,2027,165,29675
14,2028,173,31503
15,2016,12,9873
15,2017,12,10826
15,2018,3,15789
15,2019,15,22641
15,2020,16,21263
15,2021,13,28872
15,2022,13,27425
15,2023,29,25690
15,2024,14,25614
15,2025,159,26206
15,2026,167,28033
15,2027,174,29860
15,2028,182,31687
16,2016,1,8000
16,2017,3,7915
16,2018,2,11021
16,2019,29,12991
16,2020,10,13982
16,2021,8,16945
16,2022,12,15770
16,2023,9,17655
16,2024,6,17156
16,2025,168,26391
16,2026,176,28218
16,2027,184,30045
16,2028,192,31872
17,2016,26,8379
17,2017,18,8778
17,2018,563,11879
17,2019,119,17028
17,2020,167,17529
17,2021,151,20660
17,2022,148,22429
17,2023,162,23317
17,2024,209,25107
17,2025,178,26575
17,2026,186,28403
17,2027,194,30230
17,2028,202,32057
